id	paper_label
P1L2	1
P1L1	2
P1L7	3
P1L4	4
P2L2	5
P2L6	6
P2L4	7
P2L5	9
P2L3	10
P3L1	11
P3L7	12
P3L4	13
P3L9	14
P4L2	15
P5L5	16
P5L4	17
P5L2	18
P5L1	19
P6L3	20
P6L1	105
P7L1	21
P7L10	22
P7L2	23
P7L4	24
P7L8	25
P7L3	26
P7L9	27
P7L5	28
P8L20	29
P8L4	30
P8L3	31
P8L1	32
P8L7	33
P9L1	34
P9L4	35
P9L2	36
P9L5	37
P9L13	38
P9L3	39
P10L4	40
P10L23	41
P10L8	42
P10L6	43
P10L1	44
P10L2	45
P10L11	46
P10L7	47
P11L6	48
P11L2	49
P11L4	50
P12L4	51
P12L1	52
P12L3	53
P12L19	55
P13L6	56
P13L2	57
P13L5	59
P13L1	60
P13L3	61
P14L1	62
P14L7	63
P14L5	64
P14L3	65
P14L4	66
P14L2	67
P15L1	68
P15L26	71
P15L6	72
P16L3	77
P16L11	78
P16L2	79
P16L13	80
P16L1	81
P17L4	82
P17L1	83
P17L2	84
P17L6	85
P18L2	86
P18L1	87
P18L4	88
P18L7	89
P18L5	90
P18L3	91
P18L11	92
P18L13	93
P18L10	94
P18L14	95
P19L3	96
P19L2	97
P20L2	98
P20L6	100
P20L3	101
P20L9	102
P20L8	103
